epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,472.476,0.59972,0.96986,1.0259,0.75835,0.75834,0.77399,0.66763,0.59889,0.94349,1.0964,0.000410262,0.000410262,0.000410262
30,488.54,0.59482,0.95697,1.0025,0.85745,0.70266,0.80027,0.67352,0.62913,0.923,1.08778,0.000404194,0.000404194,0.000404194
31,504.287,0.57408,0.9333,1.00001,0.8068,0.76294,0.81095,0.68218,0.63021,0.87453,1.08083,0.000397977,0.000397977,0.000397977
32,520.481,0.61661,0.93486,1.04623,0.7465,0.77657,0.78498,0.65681,0.65141,0.9673,1.14374,0.000391616,0.000391616,0.000391616
33,536.426,0.59642,0.93495,1.02726,0.74908,0.75509,0.78126,0.66681,0.62955,1.00823,1.10584,0.000385117,0.000385117,0.000385117
34,552.384,0.59132,0.90787,1.01843,0.79759,0.74341,0.81828,0.70114,0.58326,0.8627,1.07481,0.000378488,0.000378488,0.000378488
35,568.42,0.57171,0.93712,1.00619,0.7344,0.81186,0.81601,0.70112,0.58402,0.85356,1.05862,0.000371734,0.000371734,0.000371734
36,584.619,0.57963,0.86424,1.00796,0.80761,0.72122,0.79896,0.67265,0.62686,0.88871,1.08458,0.000364863,0.000364863,0.000364863
37,600.732,0.60487,0.91685,1.03009,0.84924,0.68031,0.78041,0.66191,0.63245,0.9242,1.07014,0.00035788,0.00035788,0.00035788
38,616.585,0.56475,0.89656,1.00855,0.83435,0.71645,0.79274,0.69794,0.57106,0.89715,1.06599,0.000350794,0.000350794,0.000350794
39,633.746,0.54859,0.84714,0.9995,0.77674,0.76473,0.82114,0.71805,0.54918,0.80201,1.02917,0.000343611,0.000343611,0.000343611
40,652.141,0.557,0.86861,1.00141,0.80194,0.75545,0.80914,0.70225,0.57011,0.83631,1.07604,0.000336338,0.000336338,0.000336338
41,674.133,0.59364,0.90875,1.03272,0.83106,0.7357,0.81642,0.692,0.58247,0.85546,1.07387,0.000328982,0.000328982,0.000328982
42,695.223,0.55567,0.84359,1.00873,0.818,0.76392,0.82334,0.71326,0.54941,0.85361,1.02153,0.00032155,0.00032155,0.00032155
43,714.052,0.55885,0.87556,1.00595,0.89316,0.73389,0.82283,0.71804,0.56495,0.82317,1.06214,0.000314051,0.000314051,0.000314051
44,732.647,0.54522,0.84859,1.00462,0.7991,0.77959,0.81108,0.69993,0.56904,0.81534,1.0681,0.00030649,0.00030649,0.00030649
45,749.871,0.5657,0.82346,1.01245,0.89723,0.69286,0.80796,0.68508,0.56587,0.88275,1.07002,0.000298877,0.000298877,0.000298877
46,767.795,0.56442,0.84486,1.0075,0.82156,0.73224,0.80808,0.69196,0.54313,0.87711,1.05082,0.000291218,0.000291218,0.000291218
47,785.407,0.52333,0.78138,0.98124,0.84851,0.78013,0.82577,0.72468,0.51202,0.7792,1.02759,0.00028352,0.00028352,0.00028352
48,803.084,0.51178,0.76276,0.97534,0.83829,0.77468,0.82038,0.72029,0.51243,0.81833,1.02658,0.000275792,0.000275792,0.000275792
49,820.46,0.49272,0.69501,0.97475,0.85968,0.75337,0.82348,0.71947,0.54005,0.8139,1.06718,0.000268041,0.000268041,0.000268041
50,839.521,0.53729,0.75037,0.99108,0.82627,0.73156,0.80141,0.69617,0.531,0.84214,1.04638,0.000260274,0.000260274,0.000260274
51,857.357,0.52182,0.78127,0.9804,0.84361,0.729,0.78343,0.67689,0.55171,0.84298,1.04402,0.0002525,0.0002525,0.0002525
52,875.2,0.51195,0.74035,0.9745,0.90136,0.70826,0.80465,0.68089,0.539,0.83926,1.04191,0.000244726,0.000244726,0.000244726
53,893.98,0.52294,0.74167,0.98198,0.88695,0.74045,0.81474,0.71777,0.5197,0.80645,1.02986,0.000236959,0.000236959,0.000236959
54,911.481,0.47818,0.69538,0.96759,0.9186,0.7244,0.81646,0.71822,0.52367,0.819,1.02655,0.000229208,0.000229208,0.000229208
55,928.569,0.48959,0.69026,0.96622,0.80048,0.78424,0.81809,0.72341,0.50892,0.77893,1.02104,0.00022148,0.00022148,0.00022148
56,945.646,0.4845,0.66317,0.96457,0.84856,0.7542,0.82109,0.73597,0.51542,0.77211,1.03958,0.000213782,0.000213782,0.000213782
57,963.189,0.49629,0.67003,0.97416,0.8215,0.77586,0.81123,0.73227,0.50906,0.78438,1.02478,0.000206123,0.000206123,0.000206123
58,980.367,0.45339,0.6536,0.95678,0.83728,0.80155,0.80981,0.72143,0.47572,0.80852,0.99215,0.00019851,0.00019851,0.00019851
59,997.457,0.48382,0.64881,0.96552,0.87706,0.78345,0.83628,0.73463,0.47488,0.72755,0.98525,0.000190949,0.000190949,0.000190949
60,1014.38,0.46945,0.63631,0.95729,0.90692,0.74328,0.81621,0.73244,0.46636,0.7364,0.96619,0.00018345,0.00018345,0.00018345
61,1031.46,0.47703,0.63071,0.96923,0.83565,0.78069,0.82663,0.73631,0.47346,0.73354,0.98092,0.000176018,0.000176018,0.000176018
62,1048.82,0.46778,0.61238,0.95573,0.87678,0.7637,0.83552,0.74154,0.47844,0.71923,0.98912,0.000168662,0.000168662,0.000168662
63,1066,0.42856,0.57844,0.94081,0.84845,0.80037,0.84294,0.73127,0.49671,0.69524,1.01574,0.000161389,0.000161389,0.000161389
64,1083,0.45744,0.61989,0.95214,0.84749,0.81355,0.86583,0.7571,0.49858,0.69085,1.01325,0.000154206,0.000154206,0.000154206
65,1100.01,0.45121,0.6028,0.96126,0.86669,0.78756,0.86065,0.76089,0.46746,0.71329,0.98895,0.00014712,0.00014712,0.00014712
66,1117.27,0.45024,0.6151,0.95032,0.86248,0.7974,0.85245,0.75829,0.45619,0.7364,0.9814,0.000140137,0.000140137,0.000140137
67,1134.23,0.44945,0.56409,0.95429,0.83554,0.826,0.85443,0.76405,0.46811,0.73966,0.98637,0.000133266,0.000133266,0.000133266
68,1152.26,0.47549,0.61908,0.98484,0.91893,0.78809,0.84829,0.75576,0.47259,0.74847,0.98791,0.000126512,0.000126512,0.000126512
69,1170.9,0.45537,0.61162,0.95544,0.84811,0.82769,0.85068,0.75937,0.46116,0.70763,0.97981,0.000119883,0.000119883,0.000119883
70,1189.77,0.42526,0.56858,0.94437,0.89199,0.77355,0.85633,0.7626,0.45396,0.69599,0.98435,0.000113384,0.000113384,0.000113384
71,1207.36,0.44841,0.62505,0.96864,0.83781,0.83104,0.85724,0.76025,0.45461,0.69123,0.97493,0.000107023,0.000107023,0.000107023
72,1224.7,0.43327,0.58517,0.94913,0.92104,0.75429,0.8601,0.75065,0.44514,0.67581,0.96588,0.000100806,0.000100806,0.000100806
73,1241.77,0.40566,0.53718,0.9232,0.87039,0.81141,0.85146,0.75157,0.44962,0.66836,0.97383,9.47376e-05,9.47376e-05,9.47376e-05
74,1258.71,0.41061,0.52009,0.9216,0.84705,0.8161,0.84389,0.75017,0.44732,0.65028,0.96733,8.88253e-05,8.88253e-05,8.88253e-05
75,1276.62,0.41378,0.54138,0.94438,0.84402,0.82643,0.85649,0.76532,0.44163,0.62764,0.96359,8.30746e-05,8.30746e-05,8.30746e-05
76,1295.69,0.44306,0.54875,0.94576,0.86841,0.8076,0.85468,0.76062,0.45507,0.65206,0.97878,7.74911e-05,7.74911e-05,7.74911e-05
77,1314,0.39998,0.53884,0.935,0.87013,0.82204,0.8521,0.75046,0.45971,0.66395,0.99156,7.20803e-05,7.20803e-05,7.20803e-05
78,1332.19,0.39589,0.49394,0.92812,0.8511,0.82268,0.86042,0.76572,0.44203,0.66909,0.97732,6.68475e-05,6.68475e-05,6.68475e-05
79,1350.76,0.40344,0.51715,0.93428,0.86677,0.81275,0.8632,0.77417,0.42544,0.65312,0.96481,6.1798e-05,6.1798e-05,6.1798e-05
80,1367.99,0.40692,0.52112,0.93104,0.86582,0.81952,0.86516,0.77726,0.41394,0.64965,0.95492,5.69366e-05,5.69366e-05,5.69366e-05
81,1386.25,0.40725,0.50198,0.92605,0.86979,0.82303,0.86618,0.77823,0.4127,0.63532,0.95089,5.22683e-05,5.22683e-05,5.22683e-05
82,1405.03,0.414,0.51867,0.93678,0.85415,0.83845,0.86345,0.77178,0.42253,0.63861,0.96403,4.77976e-05,4.77976e-05,4.77976e-05
83,1422.97,0.37531,0.4644,0.90823,0.89826,0.79816,0.86041,0.77318,0.42658,0.65089,0.96532,4.35288e-05,4.35288e-05,4.35288e-05
84,1440.5,0.40086,0.49367,0.92439,0.86989,0.81351,0.86134,0.77876,0.42055,0.63722,0.96569,3.94663e-05,3.94663e-05,3.94663e-05
85,1458.46,0.41171,0.50452,0.93867,0.86832,0.80978,0.85853,0.7785,0.41705,0.63415,0.96169,3.56141e-05,3.56141e-05,3.56141e-05
86,1477.67,0.4173,0.52033,0.93429,0.88357,0.8062,0.85906,0.77953,0.41945,0.62796,0.96009,3.19759e-05,3.19759e-05,3.19759e-05
87,1495.71,0.41116,0.54208,0.9507,0.88845,0.80861,0.8604,0.77829,0.4274,0.62533,0.96788,2.85553e-05,2.85553e-05,2.85553e-05
88,1513.33,0.40608,0.58204,0.92763,0.88441,0.81032,0.86144,0.77512,0.44064,0.62938,0.9793,2.53557e-05,2.53557e-05,2.53557e-05
89,1530.85,0.41624,0.51711,0.9367,0.87274,0.8182,0.86404,0.77558,0.43753,0.62944,0.98038,2.23803e-05,2.23803e-05,2.23803e-05
90,1547.39,0.40158,0.49698,0.92052,0.87868,0.81952,0.86452,0.78098,0.43473,0.61892,0.97878,1.9632e-05,1.9632e-05,1.9632e-05
91,1561.28,0.27982,0.33982,0.84547,0.90937,0.80363,0.8631,0.77882,0.42809,0.62183,0.98162,1.71135e-05,1.71135e-05,1.71135e-05
92,1578.77,0.26541,0.29884,0.83864,0.90245,0.79602,0.86306,0.78157,0.42896,0.62808,0.98451,1.48273e-05,1.48273e-05,1.48273e-05
93,1596.25,0.28178,0.29213,0.85362,0.88035,0.82218,0.86455,0.78587,0.42644,0.62366,0.98018,1.27757e-05,1.27757e-05,1.27757e-05
94,1611.31,0.2725,0.29202,0.85379,0.88083,0.81798,0.86278,0.78412,0.42233,0.62059,0.97783,1.09606e-05,1.09606e-05,1.09606e-05
95,1625.61,0.27377,0.28665,0.85525,0.88623,0.8215,0.86655,0.78403,0.42751,0.61278,0.98152,9.38391e-06,9.38391e-06,9.38391e-06
96,1640.76,0.28404,0.289,0.85741,0.88387,0.82118,0.86643,0.7852,0.42826,0.62242,0.98001,8.04714e-06,8.04714e-06,8.04714e-06
97,1654.03,0.26977,0.30815,0.85194,0.89329,0.82124,0.86791,0.78984,0.42449,0.61231,0.9801,6.95161e-06,6.95161e-06,6.95161e-06
98,1667.3,0.24822,0.25455,0.84054,0.89002,0.81309,0.86837,0.78708,0.42404,0.60951,0.97852,6.09841e-06,6.09841e-06,6.09841e-06
99,1680.45,0.27188,0.27368,0.84731,0.8982,0.81368,0.86745,0.78697,0.42312,0.60657,0.97837,5.48838e-06,5.48838e-06,5.48838e-06
100,1693.69,0.25601,0.26232,0.84698,0.90013,0.81119,0.87252,0.7881,0.42107,0.59992,0.97631,5.12213e-06,5.12213e-06,5.12213e-06
