epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,579.924,0.62969,1.13371,1.00093,1.03058,0,0.7819,0.69746,0.77849,0.65741,0.75596,0.66791,0.75032,0.65931,0.63309,1.14169,1.04108,1.07253,0,0.000416175,0.000416175,0.000416175
29,600.29,0.60423,1.10967,1.01973,1.0153,0,0.78957,0.7028,0.76053,0.63128,0.77814,0.68842,0.73707,0.64486,0.62903,1.11697,1.04478,1.06871,0,0.000410262,0.000410262,0.000410262
30,620.439,0.59955,1.02999,0.95125,0.99872,0,0.78297,0.76459,0.80619,0.65949,0.78575,0.73545,0.76801,0.68103,0.65988,1.2772,0.93478,1.08115,0,0.000404194,0.000404194,0.000404194
31,640.769,0.60556,1.10754,0.91146,1.01025,0,0.8445,0.73619,0.80472,0.70233,0.82919,0.71389,0.77727,0.68079,0.55286,1.27877,0.93276,1.00465,0,0.000397977,0.000397977,0.000397977
32,659.989,0.61825,1.20568,0.97857,1.03223,0,0.87127,0.74904,0.8049,0.69365,0.85462,0.7368,0.77518,0.68728,0.60045,1.29371,0.93215,1.0625,0,0.000391616,0.000391616,0.000391616
33,681.02,0.59005,1.12169,0.95001,1.0019,0,0.89367,0.73053,0.80178,0.69797,0.88589,0.72727,0.78125,0.68612,0.58878,1.2117,0.90695,1.05819,0,0.000385117,0.000385117,0.000385117
34,707.338,0.59241,1.17279,0.9531,1.00695,0,0.78424,0.79115,0.7972,0.69142,0.78201,0.78442,0.76847,0.66722,0.57917,1.20296,0.86748,1.04486,0,0.000378488,0.000378488,0.000378488
35,730.145,0.58435,1.0962,0.96213,1.00783,0,0.85404,0.74876,0.82024,0.69611,0.83858,0.72897,0.77976,0.6971,0.60685,1.33089,0.88232,1.07592,0,0.000371734,0.000371734,0.000371734
36,754.574,0.5818,1.07458,0.9111,1.00336,0,0.88519,0.74239,0.81175,0.71332,0.87431,0.7354,0.79346,0.70055,0.53734,1.25568,0.82525,1.02778,0,0.000364863,0.000364863,0.000364863
37,778.112,0.59264,1.10898,0.93625,1.00628,0,0.8873,0.76233,0.80863,0.68666,0.87738,0.75556,0.78449,0.68723,0.56367,1.13757,0.89556,1.04298,0,0.00035788,0.00035788,0.00035788
